Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR,DCF_Margin_of_Safety_%
CPRT,"Copart, Inc",Industrials,Specialty Business Services,USA,39380000000.0,24.95,40.68,0.0077,1596532.0,25.42,20.6
CRVL,Corvel Corp,Financial,Insurance Brokers,USA,3440000000.0,33.08,67.13,-0.019299999999999998,54148.0,16.18,-46.03
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,75910000000.0,41.03,189.82,-0.0073,225274.0,25.67,-54.14
EXLS,ExlService Holdings Inc,Technology,Information Technology Services,USA,6360000000.0,27.13,40.06,-0.010700000000000001,408016.0,16.43,1.88
IDT,IDT Corp,Communication Services,Telecom Services,USA,1210000000.0,14.96,48.12,-0.0051,18863.0,20.76,24.93
NFLX,Netflix Inc,Communication Services,Entertainment,USA,356810000000.0,33.44,84.51,-0.0125,16856396.0,24.7,-7.1
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,7700000000.0,35.43,141.54,-0.0042,101544.0,16.03,37.69
PGR,Progressive Corp,Financial,Insurance - Property & Casualty,USA,124250000000.0,11.61,211.88,0.0183,1778853.0,24.58,49.01
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,59710000000.0,33.9,335.62,-0.0053,216423.0,24.77,-12.82
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,15680000000.0,37.0,32.43,0.0074,3810232.0,26.74,41.74
V,Visa Inc,Financial,Credit Services,USA,623900000000.0,32.3,326.27,0.0031,2175248.0,16.71,-19.07
