Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,10yr_CAGR
BMI,Badger Meter Inc,Technology,Scientific & Technical Instruments,USA,5080000000.0,36.7,172.24,0.016,36760.0,20.9
CRVL,Corvel Corp,Financial,Insurance Brokers,USA,3580000000.0,34.44,69.88,0.0,4245.0,16.47
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,77810000000.0,42.05,194.57,0.0084,128464.0,25.81
DOCS,Doximity Inc,Healthcare,Health Information Services,USA,7660000000.0,32.46,40.69,0.0015,151397.0,-2.62
FUBO,fuboTV Inc,Communication Services,Broadcasting,USA,812260000.0,6.61,2.37,-0.0444,2896908.0,-13.01
IDT,IDT Corp,Communication Services,Telecom Services,USA,1200000000.0,14.93,48.02,-0.0062,3091.0,20.01
NFLX,Netflix Inc,Communication Services,Entertainment,USA,392640000000.0,34.0,85.93,-0.0023,9920457.0,25.09
ODD,ODDITY Tech Ltd,Consumer Defensive,Household & Personal Products,Israel,2040000000.0,19.83,35.47,0.0013,81872.0,-2.9
OSPN,OneSpan Inc,Technology,Software - Infrastructure,USA,456370000.0,8.13,12.0,0.009399999999999999,45636.0,-2.3
PCTY,Paylocity Holding Corp,Technology,Software - Application,USA,7870000000.0,36.22,144.68,-0.008100000000000001,31810.0,16.71
PGR,Progressive Corp,Financial,Insurance - Property & Casualty,USA,121760000000.0,11.38,207.63,0.0078000000000000005,323406.0,24.5
RACE,Ferrari N.V,Consumer Cyclical,Auto Manufacturers,Italy,60620000000.0,34.41,340.7,0.0064,119605.0,24.86
RLI,RLI Corp,Financial,Insurance - Property & Casualty,USA,5330000000.0,13.28,58.0,0.018000000000000002,116986.0,10.43
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,16829999999.999998,39.71,34.81,-0.04769999999999999,4193880.0,28.36
V,Visa Inc,Financial,Credit Services,USA,623730000000.0,32.29,326.18,-0.0,917272.0,16.73
YELP,Yelp Inc,Communication Services,Internet Content & Information,USA,1760000000.0,12.63,28.64,0.0127,63085.0,3.05
